EggNOG,locus_tag,old_locus_tag,COG,minPos,maxPos,Orient,gene_id,NCBI_desc,protein_id,gi_id,pfam_id,interpro_id,EC_num,unknown,COG_desc,unknown2,NOG_desc
NA,Intergenic_207_206298_206315,Intergenic_207_206298_206315,NA,206298,206315,.,Intergenic_207_206298_206315,Intergenic_207_206298_206315,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108UGV,OG1RF_RS01040,OG1RF_10208,COG0634,206316,206861,+,hpt,hypoxanthine phosphoribosyltransferase,AEA92895.1,GI:327534061,PF00156,IPR005904,2.4.2.8,F,Hypoxanthine-guanine phosphoribosyltransferase,F,hypoxanthine phosphoribosyltransferase
NA,Intergenic_208_206862_206933,Intergenic_208_206862_206933,NA,206862,206933,.,Intergenic_208_206862_206933,Intergenic_208_206862_206933,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C3H,OG1RF_RS01045,OG1RF_10209,COG0465,206934,209111,+,ftsH,cell division protein FtsH,AEA92896.1,GI:327534062,"PF06480,PF00004,PF01434",IPR005936,3.4.24.-,O,ATP-dependent Zn proteases,O,"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)"
NA,Intergenic_209_209112_209272,Intergenic_209_209112_209272,NA,209112,209272,.,Intergenic_209_209112_209272,Intergenic_209_209112_209272,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105F4C,OG1RF_RS01050,OG1RF_10210,COG1281,209273,210169,+,hslO,chaperonin HslO,AEA92897.1,GI:327534063,PF01430,IPR000397,NA,O,"Redox-regulated molecular chaperone, HSP33 family",O,Redox regulated molecular chaperone. Protects both thermally unfolding and oxidatively damaged proteins from irreversible aggregation. Plays an important role in the bacterial defense system toward oxidative stress (By similarity)
NA,Intergenic_210_210170_210180,Intergenic_210_210170_210180,NA,210170,210180,.,Intergenic_210_210170_210180,Intergenic_210_210170_210180,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CEH,OG1RF_RS01055,OG1RF_10211,COG0042,210181,211179,+,dus,tRNA-dihydrouridine synthase,AEA92898.1,GI:327534064,PF01207,IPR004652,1.-.-.-,J,tRNA-dihydrouridine synthase,J,Catalyzes the synthesis of dihydrouridine a modified base found in the D-loop of most tRNAs (By similarity)
NA,Intergenic_211_211180_211272,Intergenic_211_211180_211272,NA,211180,211272,.,Intergenic_211_211180_211272,Intergenic_211_211180_211272,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CRK,OG1RF_RS01060,OG1RF_10212,COG1190,211273,212769,+,lysS,lysine--tRNA ligase,AEA92899.1,GI:327534065,"PF01336,PF00152",IPR002313,6.1.1.6,J,Lysyl-tRNA synthetase (class II),J,lysyL-tRNA synthetase
NA,Intergenic_212_212770_213428,Intergenic_212_212770_213428,NA,212770,213428,.,Intergenic_212_212770_213428,Intergenic_212_212770_213428,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_213_214978_215898,Intergenic_213_214978_215898,NA,214978,215898,.,Intergenic_213_214978_215898,Intergenic_213_214978_215898,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_215_216060_218907,Intergenic_215_216060_218907,NA,216060,218907,.,Intergenic_215_216060_218907,Intergenic_215_216060_218907,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_216_219023_219035,Intergenic_216_219023_219035,NA,219023,219035,.,Intergenic_216_219023_219035,Intergenic_216_219023_219035,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_217_219109_219114,Intergenic_217_219109_219114,NA,219109,219114,.,Intergenic_217_219109_219114,Intergenic_217_219109_219114,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_218_219188_219203,Intergenic_218_219188_219203,NA,219188,219203,.,Intergenic_218_219188_219203,Intergenic_218_219188_219203,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_219_219286_219291,Intergenic_219_219286_219291,NA,219286,219291,.,Intergenic_219_219286_219291,Intergenic_219_219286_219291,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_220_219368_219371,Intergenic_220_219368_219371,NA,219368,219371,.,Intergenic_220_219368_219371,Intergenic_220_219368_219371,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_221_219444_219458,Intergenic_221_219444_219458,NA,219444,219458,.,Intergenic_221_219444_219458,Intergenic_221_219444_219458,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_222_219545_219558,Intergenic_222_219545_219558,NA,219545,219558,.,Intergenic_222_219545_219558,Intergenic_222_219545_219558,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_223_219633_219643,Intergenic_223_219633_219643,NA,219633,219643,.,Intergenic_223_219633_219643,Intergenic_223_219633_219643,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_224_219718_219730,Intergenic_224_219718_219730,NA,219718,219730,.,Intergenic_224_219718_219730,Intergenic_224_219718_219730,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_225_219804_219826,Intergenic_225_219804_219826,NA,219804,219826,.,Intergenic_225_219804_219826,Intergenic_225_219804_219826,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_226_219901_219920,Intergenic_226_219901_219920,NA,219901,219920,.,Intergenic_226_219901_219920,Intergenic_226_219901_219920,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_227_219995_220027,Intergenic_227_219995_220027,NA,219995,220027,.,Intergenic_227_219995_220027,Intergenic_227_219995_220027,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_228_220118_220150,Intergenic_228_220118_220150,NA,220118,220150,.,Intergenic_228_220118_220150,Intergenic_228_220118_220150,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_229_220225_220262,Intergenic_229_220225_220262,NA,220225,220262,.,Intergenic_229_220225_220262,Intergenic_229_220225_220262,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_230_220340_220340,Intergenic_230_220340_220340,NA,220340,220340,.,Intergenic_230_220340_220340,Intergenic_230_220340_220340,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_231_220412_220420,Intergenic_231_220412_220420,NA,220412,220420,.,Intergenic_231_220412_220420,Intergenic_231_220412_220420,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_232_220495_220508,Intergenic_232_220495_220508,NA,220495,220508,.,Intergenic_232_220495_220508,Intergenic_232_220495_220508,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_233_220581_220592,Intergenic_233_220581_220592,NA,220581,220592,.,Intergenic_233_220581_220592,Intergenic_233_220581_220592,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_234_220683_220715,Intergenic_234_220683_220715,NA,220683,220715,.,Intergenic_234_220683_220715,Intergenic_234_220683_220715,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_235_220790_220837,Intergenic_235_220790_220837,NA,220790,220837,.,Intergenic_235_220790_220837,Intergenic_235_220790_220837,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_236_220912_220916,Intergenic_236_220912_220916,NA,220912,220916,.,Intergenic_236_220912_220916,Intergenic_236_220912_220916,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_237_220990_221003,Intergenic_237_220990_221003,NA,220990,221003,.,Intergenic_237_220990_221003,Intergenic_237_220990_221003,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_238_221075_221087,Intergenic_238_221075_221087,NA,221075,221087,.,Intergenic_238_221075_221087,Intergenic_238_221075_221087,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_239_221162_221171,Intergenic_239_221162_221171,NA,221162,221171,.,Intergenic_239_221162_221171,Intergenic_239_221162_221171,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_240_221260_221274,Intergenic_240_221260_221274,NA,221260,221274,.,Intergenic_240_221260_221274,Intergenic_240_221260_221274,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_241_221347_221667,Intergenic_241_221347_221667,NA,221347,221667,.,Intergenic_241_221347_221667,Intergenic_241_221347_221667,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CID,OG1RF_RS01205,OG1RF_10213,COG3711,221668,222438,+,licT,transcription antiterminator LicT,AEA92900.1,GI:327534066,"PF03123,PF00874",IPR011608,NA,K,Transcriptional antiterminator,K,antiterminator
ENOG4105C5Y,OG1RF_RS01210,OG1RF_10214,COG1263,222416,224410,+,bglP,phosphotransferase system (PTS) beta-glucoside-specific enzyme IIBCA component,AEA92901.1,GI:327534067,"PF00367,PF02378,PF00358",IPR011297,2.7.1.69,G,"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",G,PTS System
NA,Intergenic_243_224411_224433,Intergenic_243_224411_224433,NA,224411,224433,.,Intergenic_243_224411_224433,Intergenic_243_224411_224433,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CS2,OG1RF_RS01215,OG1RF_10215,COG2723,224434,225864,+,arb,6-phospho-beta-glucosidase,AEA92902.1,GI:327534068,PF00232,IPR001360,3.2.1.86,G,Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase,G,ec 3.2.1.21
NA,Intergenic_244_225865_225941,Intergenic_244_225865_225941,NA,225865,225941,.,Intergenic_244_225865_225941,Intergenic_244_225865_225941,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4106K5Z,OG1RF_RS01220,OG1RF_10216,COG2723,225942,227453,+,bglA,6-phospho-beta-glucosidase,AEA92903.1,GI:327534069,PF00232,IPR001360,3.2.1.86,G,Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase,G,Cellulase (glycosyl hydrolase family 5)
NA,Intergenic_245_227454_227473,Intergenic_245_227454_227473,NA,227454,227473,.,Intergenic_245_227454_227473,Intergenic_245_227454_227473,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105GC7,OG1RF_RS01225,OG1RF_10217,COG0406,227474,228292,+,NA,phosphoglycerate mutase,AEA92904.1,GI:327534070,PF00300,IPR013078,5.4.2.1,G,Broad specificity phosphatase PhoE,G,phosphoglycerate mutase
NA,Intergenic_246_228293_229273,Intergenic_246_228293_229273,NA,228293,229273,.,Intergenic_246_228293_229273,Intergenic_246_228293_229273,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105GHK,OG1RF_RS01230,OG1RF_10218,COG0596,229274,230119,+,NA,thioesterase,AEA92905.1,GI:327534071,PF00975,NA,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase,P,Carboxymethylenebutenolidase-related protein
NA,Intergenic_247_230120_230136,Intergenic_247_230120_230136,NA,230120,230136,.,Intergenic_247_230120_230136,Intergenic_247_230120_230136,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107Z8C,OG1RF_RS01235,OG1RF_10219,COG2169,230137,230730,-,NA,methylphosphotriester-DNA alkyltransferase,AEA92906.1,GI:327534072,"PF02805,PF00165",IPR004026,2.1.1.-,L,"Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains",F,methylphosphotriester-DNA alkyltransferase
NA,Intergenic_248_230731_230840,Intergenic_248_230731_230840,NA,230731,230840,.,Intergenic_248_230731_230840,Intergenic_248_230731_230840,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105K85,OG1RF_RS01240,OG1RF_10220,COG0350,230841,231332,+,ogt,methylated-DNA-protein-cysteine S-methyltransferase,AEA92907.1,GI:327534073,PF01035,IPR014048,2.1.1.63,L,O6-methylguanine-DNA--protein-cysteine methyltransferase,L,Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) in DNA. Repairs alkylated guanine in DNA by stoichiometrically transferring the alkyl group at the O-6 position to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated (By similarity)
NA,Intergenic_249_231333_231344,Intergenic_249_231333_231344,NA,231333,231344,.,Intergenic_249_231333_231344,Intergenic_249_231333_231344,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4106S9U,OG1RF_RS01245,OG1RF_10221,COG2818,231345,231857,+,tag,DNA-3-methyladenine glycosylase I,AEA92908.1,GI:327534074,PF03352,IPR005019,3.2.2.20,L,3-methyladenine DNA glycosylase Tag,L,glycosylase
NA,Intergenic_250_231858_231869,Intergenic_250_231858_231869,NA,231858,231869,.,Intergenic_250_231858_231869,Intergenic_250_231858_231869,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105EST,OG1RF_RS01250,OG1RF_10222,COG1418,231870,232544,+,NA,HD domain protein,AEA92909.1,GI:327534075,PF01966,IPR006674,NA,JR,"HD superfamily phosphodieaserase, includes HD domain of RNase Y",S,Metal Dependent Phosphohydrolase
NA,Intergenic_251_232545_232686,Intergenic_251_232545_232686,NA,232545,232686,.,Intergenic_251_232545_232686,Intergenic_251_232545_232686,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CED,OG1RF_RS01255,OG1RF_10223,NA,232687,233622,+,NA,CDF family cation diffusion facilitator,AEA92910.1,GI:327534076,PF01545,IPR002524,NA,NA,NA,P,cation diffusion facilitator family transporter
NA,Intergenic_252_233623_233651,Intergenic_252_233623_233651,NA,233623,233651,.,Intergenic_252_233623_233651,Intergenic_252_233623_233651,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS01260,OG1RF_10224,NA,233652,234065,+,NA,hypothetical protein,AEA92911.1,GI:327534077,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_253_234066_234162,Intergenic_253_234066_234162,NA,234066,234162,.,Intergenic_253_234066_234162,Intergenic_253_234066_234162,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CSJ,OG1RF_RS01265,OG1RF_10225,COG0623,234163,234915,-,fabI,enoyl-[acyl-carrier-protein] reductase (NADH),AEA92912.1,GI:327534078,NA,IPR014358,1.3.1.9,I,Enoyl-[acyl-carrier-protein] reductase (NADH),I,Enoyl- acyl-carrier-protein reductase NADH
NA,Intergenic_254_234916_235212,Intergenic_254_234916_235212,NA,234916,235212,.,Intergenic_254_234916_235212,Intergenic_254_234916_235212,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C0Q,OG1RF_RS01270,OG1RF_10226,COG0304,235213,236451,+,fabF,3-oxoacyl-(acyl-carrier-protein) synthase II,AEA92913.1,GI:327534079,"PF00109,PF02801",IPR000794,2.3.1.179,IQ,3-oxoacyl-(acyl-carrier-protein) synthase,I,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)
NA,Intergenic_255_236452_236452,Intergenic_255_236452_236452,NA,236452,236452,.,Intergenic_255_236452_236452,Intergenic_255_236452_236452,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108YXN,OG1RF_RS01275,OG1RF_10227,COG0764,236453,236887,+,fabZ,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase,AEA92914.1,GI:327534080,PF07977,IPR010084,4.2.1.-,I,3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase,I,Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs (By similarity)
NA,Intergenic_256_236888_237031,Intergenic_256_236888_237031,NA,236888,237031,.,Intergenic_256_236888_237031,Intergenic_256_236888_237031,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107TGB,OG1RF_RS01280,OG1RF_10228,COG0167,237032,238000,+,pyrDA,dihydroorotate oxidase,AEA92915.1,GI:327534081,PF01180,IPR005720,1.3.98.1,F,Dihydroorotate dehydrogenase,F,Catalyzes the conversion of dihydroorotate to orotate (By similarity)
NA,Intergenic_257_238001_238184,Intergenic_257_238001_238184,NA,238001,238184,.,Intergenic_257_238001_238184,Intergenic_257_238001_238184,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108ZJE,OG1RF_RS01290,OG1RF_10229,NA,238185,238832,-,NA,fibronectin-binding protein,AEA92916.1,GI:327534082,PF07299,IPR010841,NA,NA,NA,S,Fibronectin-binding protein
NA,Intergenic_258_238833_239186,Intergenic_258_238833_239186,NA,238833,239186,.,Intergenic_258_238833_239186,Intergenic_258_238833_239186,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DRH,OG1RF_RS01295,OG1RF_10230,COG0231,239187,239747,+,efp,elongation factor P,AEA92917.1,GI:327534083,"PF08207,PF01132,PF09285",IPR011768,NA,J,Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A),J,"Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (By similarity)"
NA,Intergenic_259_239748_239916,Intergenic_259_239748_239916,NA,239748,239916,.,Intergenic_259_239748_239916,Intergenic_259_239748_239916,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS01300,OG1RF_10231,NA,239917,240054,+,NA,hypothetical protein,AEA92918.1,GI:327534084,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_260_240055_240143,Intergenic_260_240055_240143,NA,240055,240143,.,Intergenic_260_240055_240143,Intergenic_260_240055_240143,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C6T,OG1RF_RS01305,OG1RF_10232,COG0031,240144,241061,+,srpG,cysteine synthase,AEA92919.1,GI:327534085,PF00291,IPR001926,2.5.1.47,E,Cysteine synthase,E,cysteine synthase
ENOG4105C28,OG1RF_RS01310,OG1RF_10233,COG0626,241027,242211,+,metC,cystathionine gamma-synthase,AEA92920.1,GI:327534086,PF01053,IPR000277,4.4.1.8,E,Cystathionine beta-lyase/cystathionine gamma-synthase,E,cystathionine
NA,Intergenic_262_242212_242247,Intergenic_262_242212_242247,NA,242212,242247,.,Intergenic_262_242212_242247,Intergenic_262_242212_242247,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CS2,OG1RF_RS01315,OG1RF_10234,COG2723,242248,243678,-,celA,6-phospho-beta-glucosidase,AEA92921.1,GI:327534087,PF00232,IPR001360,3.2.1.86,G,Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase,G,ec 3.2.1.21
NA,Intergenic_263_243679_243704,Intergenic_263_243679_243704,NA,243679,243704,.,Intergenic_263_243679_243704,Intergenic_263_243679_243704,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CK1,OG1RF_RS01320,OG1RF_10235,COG1455,243705,245039,-,celB,"PTS family lactose-N,N-diacetylchitobiose-beta-glucoside (lac) porter component IIBC",AEA92922.1,GI:327534088,PF02378,IPR004501,NA,G,Phosphotransferase system cellobiose-specific component IIC,G,PTS System
NA,Intergenic_264_245040_245212,Intergenic_264_245040_245212,NA,245040,245212,.,Intergenic_264_245040_245212,Intergenic_264_245040_245212,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,OG1RF_10236,COG1737,245213,245974,-,NA,RpiR family transcriptional regulator,AEA92923.1,GI:327534089,"PF01418,PF01380",IPR001347,NA,K,"DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains",NA,NA
NA,Intergenic_265_245975_246172,Intergenic_265_245975_246172,NA,245975,246172,.,Intergenic_265_245975_246172,Intergenic_265_245975_246172,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105NAE,OG1RF_RS01330,OG1RF_10237,COG0262,246173,246763,+,NA,riboflavin biosynthesis protein RibD domain protein,AEA92924.1,GI:327534090,PF01872,NA,NA,H,Dihydrofolate reductase,H,bifunctional deaminase-reductase domain protein
NA,Intergenic_266_246764_246852,Intergenic_266_246764_246852,NA,246764,246852,.,Intergenic_266_246764_246852,Intergenic_266_246764_246852,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CZN,OG1RF_RS01335,OG1RF_10238,COG0168,246853,248262,+,ntpJ,H(+)-transporting two-sector ATPase,AEA92925.1,GI:327534091,PF02386,IPR004772,3.6.3.14,P,"Trk-type K+ transport system, membrane component",P,Potassium uptake protein
NA,Intergenic_267_248263_248282,Intergenic_267_248263_248282,NA,248263,248282,.,Intergenic_267_248263_248282,Intergenic_267_248263_248282,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107RWR,OG1RF_RS01340,OG1RF_10239,COG0475,248283,249446,+,napA,periplasmic nitrate reductase NapA,AEA92926.1,GI:327534092,PF00999,IPR006153,NA,P,"Kef-type K+ transport system, membrane component KefB",P,Sodium hydrogen exchanger
NA,Intergenic_268_249447_249573,Intergenic_268_249447_249573,NA,249447,249573,.,Intergenic_268_249447_249573,Intergenic_268_249447_249573,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105NA0,OG1RF_RS01345,OG1RF_10240,COG3682,249574,250014,+,copY,transcriptional repressor CopY,AEA92927.1,GI:327534093,PF03965,IPR014071,NA,K,Predicted transcriptional regulator,K,Transcriptional regulator
NA,Intergenic_269_250015_250029,Intergenic_269_250015_250029,NA,250015,250029,.,Intergenic_269_250015_250029,Intergenic_269_250015_250029,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C59,OG1RF_RS01350,OG1RF_10241,COG2217,250030,252516,+,actP,copper-exporting ATPase,AEA92928.1,GI:327534094,"PF00403,PF00122,PF00702",IPR001757,3.6.3.4,P,Cation transport ATPase,P,p-type ATPase
NA,Intergenic_270_252517_252537,Intergenic_270_252517_252537,NA,252517,252537,.,Intergenic_270_252517_252537,Intergenic_270_252517_252537,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG410681U,OG1RF_RS01355,OG1RF_10242,NA,252538,252744,+,copZ,"MerTP family copper permease, binding protein CopZ",AEA92929.1,GI:327534095,PF00403,NA,NA,NA,NA,P,heavy metal transport detoxification protein
NA,Intergenic_271_252745_252788,Intergenic_271_252745_252788,NA,252745,252788,.,Intergenic_271_252745_252788,Intergenic_271_252745_252788,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108S2B,OG1RF_RS01360,OG1RF_10243,NA,252789,254159,-,NA,hypothetical protein,AEA92930.1,GI:327534096,NA,NA,NA,NA,NA,S,NA
ENOG4105GCC,OG1RF_RS01365,OG1RF_10244,NA,254159,254548,-,NA,GntR family transcriptional regulator,AEA92931.1,GI:327534097,PF00392,IPR011991,NA,NA,NA,K,"Transcriptional regulator, GntR family"
NA,Intergenic_273_254549_254697,Intergenic_273_254549_254697,NA,254549,254697,.,Intergenic_273_254549_254697,Intergenic_273_254549_254697,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CTZ,OG1RF_RS01370,OG1RF_10245,COG3579,254698,256026,+,pepC,aminopeptidase C,AEA92932.1,GI:327534098,PF03051,IPR004134,3.4.22.40,E,Aminopeptidase C,E,aminopeptidase c
NA,Intergenic_274_256027_256069,Intergenic_274_256027_256069,NA,256027,256069,.,Intergenic_274_256027_256069,Intergenic_274_256027_256069,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107XWI,OG1RF_RS01375,OG1RF_10246,COG1853,256070,256690,-,NA,"flavin reductase domain protein, FMN-binding protein",AEA92933.1,GI:327534099,NA,IPR012349,NA,C,"NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family",S,"flavin reductase domain protein, FMN-binding"
NA,Intergenic_275_256691_256711,Intergenic_275_256691_256711,NA,256691,256711,.,Intergenic_275_256691_256711,Intergenic_275_256691_256711,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DA2,OG1RF_RS01380,OG1RF_10247,COG0346,256712,257686,-,gloA,lactoylglutathione lyase,AEA92934.1,GI:327534100,PF00903,NA,4.4.1.5,Q,"Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme",E,glyoxalase bleomycin resistance protein dioxygenase
NA,Intergenic_276_257687_257951,Intergenic_276_257687_257951,NA,257687,257951,.,Intergenic_276_257687_257951,Intergenic_276_257687_257951,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG410839T,OG1RF_RS01385,OG1RF_10248,COG2076,257952,258308,+,sugE1,quaternary ammonium compound-resistance protein SugE,AEA92935.1,GI:327534101,PF00893,IPR000390,NA,V,Multidrug transporter EmrE and related cation transporters,P,multidrug resistance protein
ENOG410835Q,OG1RF_RS01390,OG1RF_10249,NA,258305,258616,+,sugE2,quaternary ammonium compound-resistance protein SugE,AEA92936.1,GI:327534102,PF00893,IPR000390,NA,NA,NA,P,Small Multidrug Resistance protein
NA,Intergenic_278_258617_258711,Intergenic_278_258617_258711,NA,258617,258711,.,Intergenic_278_258617_258711,Intergenic_278_258617_258711,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105E03,OG1RF_RS01395,OG1RF_10250,COG3469,258712,259758,-,chiC,chitinase C1,AEA92937.1,GI:327534103,PF00704,IPR013781,3.2.1.14,G,Chitinase,G,chitinase
NA,Intergenic_279_259759_259800,Intergenic_279_259759_259800,NA,259759,259800,.,Intergenic_279_259759_259800,Intergenic_279_259759_259800,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108M1A,OG1RF_RS01400,OG1RF_10251,COG3397,259801,260385,-,NA,chitin-binding protein/carbohydrate-binding protein,AEA92938.1,GI:327534104,PF03067,IPR004302,NA,R,"Predicted carbohydrate-binding protein, contains CBM5 and CBM33 domains",G,Chitin-binding protein
NA,Intergenic_280_260386_260541,Intergenic_280_260386_260541,NA,260386,260541,.,Intergenic_280_260386_260541,Intergenic_280_260386_260541,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108VEM,OG1RF_RS01405,OG1RF_10252,COG3884,260542,261393,+,NA,acyl-ACP family thioesterase,AEA92939.1,GI:327534105,PF01643,IPR002864,3.1.2.14,I,Acyl-ACP thioesterase,I,Acyl-ACP thioesterase
NA,Intergenic_281_261394_261443,Intergenic_281_261394_261443,NA,261394,261443,.,Intergenic_281_261394_261443,Intergenic_281_261394_261443,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105I3N,OG1RF_RS01410,OG1RF_10253,COG1801,261444,262277,+,NA,protein of hypothetical function DUF72,AEA92940.1,GI:327534106,PF01904,IPR002763,NA,S,"Uncharacterized conserved protein YecE, DUF72 family",S,Conserved Protein
NA,Intergenic_282_262278_262293,Intergenic_282_262278_262293,NA,262278,262293,.,Intergenic_282_262278_262293,Intergenic_282_262278_262293,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105T81,OG1RF_RS01415,OG1RF_10254,COG4696,262294,262830,+,NA,cof family protein,AEA92941.1,GI:327534107,NA,NA,NA,R,"Predicted phosphohydrolase, Cof family, HAD superfamily",S,Phosphoribosyl-ATP pyrophosphohydrolase
NA,Intergenic_283_262831_262852,Intergenic_283_262831_262852,NA,262831,262852,.,Intergenic_283_262831_262852,Intergenic_283_262831_262852,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CFH,OG1RF_RS01420,OG1RF_10255,COG0527,262853,264214,-,lysC,aspartate kinase,AEA92942.1,GI:327534108,"PF00696,PF01842",IPR001341,2.7.2.4,E,Aspartokinase,E,Aspartokinase
NA,Intergenic_284_264215_264391,Intergenic_284_264215_264391,NA,264215,264391,.,Intergenic_284_264215_264391,Intergenic_284_264215_264391,NA,NA,NA,NA,NA,NA,NA,NA,NA
